,Train_MAE,Train_RMSE,MAE,RMSE,SEM(MAE),SEM(RMSE)
458,0.04071731,0.088368343,0.289455447,0.378559413,,
459,0.039010922,0.086274344,0.317016755,0.436605077,,
460,0.04831464,0.094692071,0.318396925,0.454377693,,
461,0.039992311,0.087362951,0.463174625,0.611755314,,
462,0.042291264,0.088877017,0.392110416,0.520330131,,
463,0.050707413,0.09646491,0.480256758,0.640362125,,
464,0.049426841,0.096349322,0.436913023,0.623014126,,
465,0.039819901,0.087585571,0.381963621,0.483318867,,
466,0.042025479,0.089066217,0.296870598,0.421937647,,
467,0.046550236,0.093709289,0.32648541,0.45235204,,
468,0.039349216,0.08721301,0.301212399,0.372693591,,
469,2.16E-10,3.45E-10,0.448101224,0.640371045,,
470,0.043481853,0.090286849,0.380194303,0.548263936,,
471,0.048638016,0.094978532,0.352235196,0.597095518,,
472,0.041665884,0.089076169,0.416124596,0.570571709,,
473,0.055966659,0.104191451,0.314956164,0.455379623,,
474,0.045464693,0.092472604,0.399300077,0.487235037,,
475,1.85E-10,2.78E-10,0.537816304,0.762711289,,
476,0.044881761,0.091522894,0.383092629,0.518549292,,
477,1.81E-10,2.67E-10,0.404716062,0.585249178,,
478,0.045693202,0.092858105,0.358539855,0.472361611,,
479,0.047022982,0.094791356,0.427695918,0.55594271,,
480,0.060361698,0.109388336,0.434665325,0.618586065,,
